Data from Subt8__0__15-37-03-459.txt Node

Date: Mon Oct 05 15:37:03 EDT 2020
User: Jared
Spectrometer: USB4A00814
Scans to average: 5
Trigger mode: 4
Integration Time (sec): 3.000000E-1
Electric dark correction enabled: true
Boxcar width: 2
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
230.964	-14.29
231.066	-6.43
231.168	-1.76
231.27	-6.18
231.372	0.45
231.474	-1.84
231.576	-4.46
231.678	3.73
231.78	2.83
231.882	-2.83
231.984	-0.37
232.086	1.93
232.187	-5.78
232.289	6.27
232.391	18.64
232.493	10.53
232.595	10.04
232.697	9.63
232.799	6.1
232.901	1.76
233.003	3.15
233.105	-2.91
233.207	-3.97
233.308	-12.33
233.41	-17.65
233.512	-8.64
233.614	-14.29
233.716	-13.31
233.818	-5.94
233.919	-8.48
234.021	-10.44
234.123	-6.51
234.225	-4.71
234.327	-10.44
234.428	-12
234.53	-13.56
234.632	-9.71
234.734	-2.25
234.836	-5.61
234.937	-3.15
235.039	3.65
235.141	2.5
235.243	-1.6
235.344	7.66
235.446	14.38
235.548	3.4
235.649	-0.94
235.751	-4.38
235.853	0.86
235.955	-4.05
236.056	-0.45
236.158	3.15
236.26	4.79
236.361	0.53
236.463	-1.52
236.565	-0.37
236.666	1.93
236.768	5.61
236.87	-2.5
236.971	-2.5
237.073	-4.79
237.174	-0.45
237.276	-6.1
237.378	5.94
237.479	14.05
237.581	13.8
237.682	10.44
237.784	8.23
237.885	-2.25
237.987	-9.22
238.089	-7.17
238.19	-4.14
238.292	-1.76
238.393	0.7
238.495	7.58
238.596	5.12
238.698	0.78
238.799	3.48
238.901	7.66
239.002	1.35
239.104	-2.58
239.205	-12.49
239.307	-13.23
239.408	-15.69
239.51	-19.21
239.611	-1.6
239.713	4.38
239.814	14.13
239.915	17
240.017	23.72
240.118	1.84
240.22	-2.33
240.321	-8.23
240.422	-7.74
240.524	-9.95
240.625	-2.66
240.727	10.44
240.828	7.58
240.929	3.65
241.031	3.15
241.132	13.39
241.233	7.5
241.335	10.69
241.436	-0.53
241.537	-5.45
241.639	-2.33
241.74	1.19
241.841	-2.91
241.943	17
242.044	25.93
242.145	17.41
242.246	14.7
242.348	13.64
242.449	7.74
242.55	5.37
242.652	7.82
242.753	6.02
242.854	10.94
242.955	9.87
243.056	4.87
243.158	-3.65
243.259	-2.74
243.36	-11.1
243.461	-11.43
243.562	-4.71
243.664	-6.43
243.765	-15.52
243.866	-18.31
243.967	-19.05
244.068	-27.81
244.169	-20.6
244.271	-12.57
244.372	-4.05
244.473	-6.92
244.574	2.74
244.675	6.76
244.776	19.95
244.877	32.56
244.978	39.28
245.08	39.53
245.181	35.92
245.282	28.88
245.383	21.83
245.484	9.79
245.585	7.66
245.686	9.22
245.787	6.18
245.888	-1.6
245.989	9.38
246.09	4.38
246.191	0.37
246.292	-1.35
246.393	-8.4
246.494	-9.38
246.595	-2.42
246.696	-0.45
246.797	4.87
246.898	11.76
246.999	3.48
247.1	-1.43
247.201	-4.3
247.302	-9.95
247.403	-7
247.504	-3.24
247.605	-0.94
247.705	0.45
247.806	5.45
247.907	9.87
248.008	8.31
248.109	10.36
248.21	10.44
248.311	-0.12
248.412	-4.71
248.513	-2.09
248.613	-11.02
248.714	-15.61
248.815	-12.9
248.916	-12.49
249.017	-17.98
249.118	-2.91
249.218	0.04
249.319	5.28
249.42	9.54
249.521	14.79
249.622	0.45
249.722	-5.61
249.823	-0.04
249.924	-10.36
250.025	-8.31
250.125	-6.43
250.226	6.76
250.327	-1.19
250.428	3.15
250.528	-0.04
250.629	5.86
