Smoothed X5	Normalized1	Normalized2	Normalized3	Normalized4	Normalized5
	0.5%	1.0%	2.0%	4.0%	6.0%
344.52	0.0161794001254395	-0.0356061212478414	-0.103952259671527	-0.0625963005178397	0.00669144854600497
344.74	4.19861201497756E-4	-0.0382520155938754	-0.0869109699354079	-0.0625963005178397	0.0128246297644305
344.95	-7.94418518375101E-4	-0.038962607601561	-0.0330602233386239	-0.063375474940866	0.0269312732777545
345.17	0.00105186064170014	-0.00988155343510386	-0.00657307059640434	-0.0393548790199736	0.0336938164590806
345.39	-5.05953825490993E-4	-0.00869360187601656	-0.0144175360751259	-0.0356323059886288	0.0218386301185168
345.61	0.00295930284139865	-0.00544292771649522	-0.00918461051899452	-0.0294922223653662	0.0159671435421543
345.83	0.00660289228916162	0.00245984378596744	5.99294117276612E-4	-0.0233927937957892	0.0173065070565597
346.04	0.0113158475581913	-0.00167823210292876	0.00374913842356813	-0.0212488657223252	0.0187905077530109
346.26	0.0112041447879465	-0.00192101436166175	0.0108406455376646	-0.0169227006715556	0.0177606075516737
346.48	0.0113403183119978	-0.00201720979511006	0.0123646596596068	-0.0164574388701504	0.0143944113736057
346.7	0.0113629017843338	-8.31541482625442E-4	0.013343329008627	-0.0145263823202842	0.0156919072500023
346.92	0.0091069302693942	-0.00586695422660319	0.0200898263388817	-0.0134023472485171	0.0160728468007229
347.13	0.00618108414506496	-5.35211946843437E-4	0.022786816137878	-0.0141763894273791	0.0160917555517959
347.35	0.00511322765957494	0.00299869338349761	0.0215767780607265	-0.0106558331061821	0.0136297302361961
347.57	0.00580959231292772	-0.00240865255695082	0.0193751743246455	-0.00843827506266706	0.0110746983466688
347.79	0.00587231034954322	6.14546017561657E-4	0.0170728294514472	-0.00826957504231771	0.0102253016759699
348.01	0.0054547623123903	8.2484007647119E-5	0.0188931019553668	-0.00851620241791223	0.00696977162013902
348.22	0.00548076533853064	-6.54440849296003E-4	0.0147251766161697	-0.00886561845001512	0.00867436228654576
348.44	0.00760132920697023	7.2328333126097E-4	0.0125935437938878	-0.00883480526602906	0.00201184405780825
348.66	0.00675691627816307	9.12977467893367E-4	0.0114233687818862	-0.00860314598645546	0.00418187915531787
348.88	0.00507095976858457	-0.00180879158925393	0.0127424618434053	-0.00805150569106156	0.00834331103768366
349.09	0.00576787258378896	0.00150314707221249	0.0127895475894575	-0.00621261154017513	0.0115341310283736
