198.396	-34.41
198.5	-17.82
198.604	-10.32
198.708	0.82
198.812	-0.25
198.916	10.65
199.02	3.85
199.125	-0.66
199.229	-16.14
199.333	-4.01
199.437	-8.11
199.541	-3.85
199.645	-0.16
199.749	4.75
199.853	7.7
199.957	6.39
200.061	3.77
200.165	2.62
200.269	0.98
200.373	-7.37
200.477	-11.14
200.581	-14.17
200.685	-16.47
200.789	-4.01
200.893	-3.85
200.996	9.58
201.1	14.42
201.204	17.94
201.308	18.68
201.412	27.93
201.516	26.54
201.62	26.21
201.724	33.01
201.828	29.08
201.932	24
202.035	8.93
202.139	7.86
202.243	-5.32
202.347	-6.88
202.451	-6.64
202.555	-2.13
202.659	1.39
202.762	6.23
202.866	9.91
202.97	2.46
203.074	6.23
203.178	0.57
203.281	3.93
203.385	-4.01
203.489	7.21
203.593	6.88
203.697	6.64
203.8	3.69
203.904	8.77
204.008	9.5
204.112	9.01
204.215	8.11
204.319	5.9
204.423	0.9
204.527	0.98
204.63	4.26
204.734	-1.97
204.838	-0.98
204.941	-0.08
205.045	-1.88
205.149	-0.16
205.252	12.12
205.356	14.83
205.46	16.79
205.563	12.04
205.667	-0.66
205.771	-2.62
205.874	-7.45
205.978	4.34
206.082	2.95
206.185	8.85
206.289	6.31
206.392	15.24
206.496	-2.87
206.6	-6.14
206.703	2.05
206.807	-0.49
206.91	-4.83
207.014	-0.16
207.117	10.57
207.221	8.27
207.324	12.53
207.428	22.61
207.531	28.26
207.635	21.22
207.739	19.99
207.842	19.01
207.946	1.88
208.049	1.15
208.153	0.08
208.256	1.8
208.359	-1.31
208.463	-5.57
208.566	-5.98
208.67	-1.15
208.773	2.38
208.877	0.49
208.98	7.86
209.084	4.42
209.187	-5.65
209.29	-6.64
209.394	10.57
209.497	15.65
209.601	25.64
209.704	32.52
209.807	20.48
209.911	9.83
210.014	2.7
210.118	3.19
210.221	0.74
210.324	14.83
210.428	9.26
210.531	20.07
210.634	7.37
210.738	11.3
210.841	7.7
210.944	7.45
211.048	-0.82
211.151	6.88
211.254	4.01
211.357	9.01
211.461	13.27
211.564	19.41
211.667	5.65
211.77	12.45
211.874	0.41
211.977	2.21
212.08	-9.67
212.183	-0.82
212.287	-4.67
212.39	-3.03
212.493	-2.79
212.596	0.74
212.7	5.9
212.803	12.94
212.906	16.96
213.009	22.2
213.112	38.67
213.215	25.15
213.319	20.32
213.422	20.64
213.525	10.73
213.628	-2.38
213.731	9.99
213.834	5.49
213.937	4.51
214.041	6.8
214.144	11.71
214.247	1.64
